학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000005990,전주서곡초등학교,초등학교,2000-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 효자동3가 1474,전북특별자치도 전주시 완산구 서곡7길 30,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83306061,127.1008952,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006014,전주인봉초등학교,초등학교,2001-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 인후동1가 917,전북특별자치도 전주시 덕진구 무삼지로 7,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82691771,127.1650204,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005982,전주효자초등학교,초등학교,1985-06-15,공립,본교,운영,전북특별자치도 전주시 완산구 효자동1가 567,전북특별자치도 전주시 완산구 송정로 47,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.80324965,127.1227522,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000011626,완산여자고등학교,고등학교,1974-11-18,사립,본교,운영,전북특별자치도 전주시 완산구 평화동1가 500-1,전북특별자치도 전주시 완산구 덕적골1길 60,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.79203367,127.1383432,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010214,전주서신중학교,중학교,1998-03-02,공립,본교,운영,전북특별자치도 전주시 완산구 서신동 833,전북특별자치도 전주시 완산구 안터2길 40,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82877973,127.1167419,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006018,전주인후초등학교,초등학교,1998-09-15,공립,본교,운영,전북특별자치도 전주시 덕진구 인후동1가 844,전북특별자치도 전주시 덕진구 무삼지로 67,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.8318225,127.1623981,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012983,우석고등학교,고등학교,1972-03-01,사립,본교,운영,전북특별자치도 전주시 덕진구 동산동 685-1,전북특별자치도 전주시 덕진구 쪽구름2길 22,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.87324481,127.0779915,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005965,전주화산초등학교,초등학교,1971-10-12,공립,본교,운영,전북특별자치도 전주시 완산구 중화산동2가 46-25,전북특별자치도 전주시 완산구 따박골7길 20,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.80939327,127.1299903,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005989,전주우전초등학교,초등학교,1924-01-14,공립,본교,운영,전북특별자치도 전주시 완산구 효자동2가 188,전북특별자치도 전주시 완산구 우전2길 11,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.80597309,127.1073752,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005973,전주우림초등학교,초등학교,2008-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 효자동2가 1193-6,전북특별자치도 전주시 완산구 소태정로 21,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.80662618,127.0982863,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005995,전주북초등학교,초등학교,1993-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 호성동1가 736,전북특별자치도 전주시 덕진구 소리로 180,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.85655402,127.1515186,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010215,전주풍남중학교,중학교,1981-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 효자동1가 504-5,전북특별자치도 전주시 완산구 거마평로 83,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.79980046,127.1152469,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010224,전주서곡중학교,중학교,2003-03-03,공립,본교,운영,전북특별자치도 전주시 완산구 효자동3가 1407-4,전북특별자치도 전주시 완산구 서곡6길 23,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83554893,127.1035986,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006011,전주송천초등학교,초등학교,1946-11-01,공립,본교,운영,전북특별자치도 전주시 덕진구 송천동1가 397,전북특별자치도 전주시 덕진구 송천1길 10,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.85682245,127.1199819,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006015,전주전라초등학교,초등학교,1984-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 인후동1가 575-1,전북특별자치도 전주시 덕진구 심방죽로 24,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83919242,127.152228,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012979,완산고등학교,고등학교,1971-12-27,사립,본교,운영,전북특별자치도 전주시 완산구 삼천동3가 417,전북특별자치도 전주시 완산구 능안자구길 55,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.80240918,127.083885,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010248,전주덕진중학교,중학교,1945-11-15,사립,본교,운영,전북특별자치도 전주시 덕진구 덕진동2가 234-1,전북특별자치도 전주시 덕진구 기린대로 541-48,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.84406521,127.1169315,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005981,전주중산초등학교,초등학교,1995-04-10,공립,본교,운영,전북특별자치도 전주시 완산구 중화산동2가 614,전북특별자치도 전주시 완산구 중산중앙로 9-10,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.81746652,127.1196127,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005960,전주풍남초등학교,초등학교,1919-11-06,공립,본교,운영,전북특별자치도 전주시 완산구 남노송동 544-1,전북특별자치도 전주시 완산구 견훤왕궁로 16,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82100253,127.1541845,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005974,전주용와초등학교,초등학교,2006-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 삼천동1가 305-43,전북특별자치도 전주시 완산구 장승배기로 14,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.79121932,127.1147101,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010245,전주근영중학교,중학교,1971-03-02,사립,본교,운영,전북특별자치도 전주시 완산구 중화산동2가 247,전북특별자치도 전주시 완산구 영경1길 11,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82030227,127.1246416,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012985,전주근영여자고등학교,고등학교,1971-03-02,사립,본교,운영,전북특별자치도 전주시 완산구 중화산동2가 247,전북특별자치도 전주시 완산구 영경1길 11,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82030227,127.1246416,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006017,전주금평초등학교,초등학교,1982-09-01,공립,본교,운영,전북특별자치도 전주시 덕진구 인후동2가 1536,전북특별자치도 전주시 덕진구 명주3길 16,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.8433282,127.1467912,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006002,전주미산초등학교,초등학교,1949-11-26,공립,본교,운영,전북특별자치도 전주시 덕진구 전미동2가 305-2,전북특별자치도 전주시 덕진구 전미로 160,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.88395549,127.1096907,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012982,전주영생고등학교,고등학교,1953-05-05,사립,본교,운영,전북특별자치도 전주시 완산구 효자동3가 1191-1,전북특별자치도 전주시 완산구 천잠로 333,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.81609983,127.0919874,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005977,전주서문초등학교,초등학교,1997-09-01,공립,본교,운영,전북특별자치도 전주시 완산구 서신동 820,전북특별자치도 전주시 완산구 서신천변11길 19,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82984999,127.1120592,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012980,전주신흥고등학교,고등학교,1900-09-09,사립,본교,운영,전북특별자치도 전주시 완산구 중화산동1가 188,전북특별자치도 전주시 완산구 서원로 399,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.81541013,127.1362767,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000011625,전주생명과학고등학교,고등학교,1910-05-16,공립,본교,운영,전북특별자치도 전주시 덕진구 인후동2가 18-5,전북특별자치도 전주시 덕진구 안덕원로 195,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83672624,127.1490519,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010216,전주남중학교,중학교,1937-04-19,공립,본교,운영,전북특별자치도 전주시 완산구 평화동1가 445-4,전북특별자치도 전주시 완산구 덕적골2길 30,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.79608353,127.1402939,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006016,전주북일초등학교,초등학교,1989-11-01,공립,본교,운영,전북특별자치도 전주시 덕진구 인후동1가 750-1,전북특별자치도 전주시 덕진구 견훤로 336,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.84208627,127.1559492,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010238,전일중학교,중학교,1970-03-03,공립,본교,운영,전북특별자치도 전주시 덕진구 인후동2가 39-16,전북특별자치도 전주시 덕진구 모래내6길 36,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83829946,127.1449636,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012991,유일여자고등학교,고등학교,1983-03-01,사립,본교,운영,전북특별자치도 전주시 덕진구 인후동1가 500-37,전북특별자치도 전주시 덕진구 안덕원로 301,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83901369,127.1599927,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012977,전일고등학교,고등학교,1981-03-09,사립,본교,운영,전북특별자치도 전주시 완산구 효자동3가 523,전북특별자치도 전주시 완산구 우전로 249,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.81567593,127.0997119,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012971,전북대학교사범대학부설고등학교,고등학교,1977-03-05,국립,본교,운영,전북특별자치도 전주시 덕진구 금암동 663,전북특별자치도 전주시 덕진구 백제대로 567,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.8411407,127.13158997,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010219,전주서중학교,중학교,1951-10-27,공립,본교,운영,전북특별자치도 전주시 완산구 서신동 762,전북특별자치도 전주시 완산구 당산로 2,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83182841,127.1097297,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000025594,전주온빛중학교,중학교,2014-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 장동 1070,전북특별자치도 전주시 덕진구 틀못4길 10,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.84350884,127.058398,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010225,전주평화중학교,중학교,2004-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 평화동2가 911-2,전북특별자치도 전주시 완산구 평화로 74,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.78337483,127.1340232,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010220,전주신일중학교,중학교,2002-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 중노송동 399-1,전북특별자치도 전주시 완산구 견훤왕궁2길 8,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82896302,127.1532516,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010222,전주양지중학교,중학교,1994-03-02,공립,본교,운영,전북특별자치도 전주시 완산구 평화동2가 581-15,전북특별자치도 전주시 완산구 양지2길 11-16,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.79174135,127.1243865,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012972,전주고등학교,고등학교,1919-06-16,공립,본교,운영,전북특별자치도 전주시 완산구 중노송동 483-1,전북특별자치도 전주시 완산구 권삼득로 2,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82470798,127.1525515,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005996,전주만수초등학교,초등학교,2006-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 호성동1가 829-1,전북특별자치도 전주시 덕진구 호성로 130,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.86298745,127.1476434,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000022449,진북고등공민학교,중학교,1955-03-05,사립,본교,운영,전북특별자치도 전주시 덕진구 진북동 1144-9,전북특별자치도 전주시 덕진구 숲정이3길 35 . 진북고등학교 (진북동),8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83181614,127.1310811,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010244,전주신흥중학교,중학교,1900-09-09,사립,본교,운영,전북특별자치도 전주시 완산구 중화산동1가 188,전북특별자치도 전주시 완산구 서원로 399,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.81541013,127.1362767,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005959,전주초등학교,초등학교,1897-07-10,공립,본교,운영,전북특별자치도 전주시 완산구 태평동 22-2,전북특별자치도 전주시 완산구 대동로 33,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82255286,127.1396496,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010235,전주온고을중학교,중학교,1982-03-05,공립,본교,운영,전북특별자치도 전주시 덕진구 인후동1가 117,전북특별자치도 전주시 덕진구 무삼지로 26,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82915114,127.1654968,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010236,전주중앙중학교,중학교,1944-04-24,공립,본교,운영,전북특별자치도 전주시 덕진구 진북동 301-19,전북특별자치도 전주시 덕진구 공북2길 20,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82800762,127.1380542,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005992,전주문학초등학교,초등학교,2008-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 효자동3가 1614,전북특별자치도 전주시 완산구 문학로 30,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82825061,127.1026766,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005985,전주효림초등학교,초등학교,1996-10-15,공립,본교,운영,전북특별자치도 전주시 완산구 효자동1가 659-2,전북특별자치도 전주시 완산구 강변로 128,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.80299582,127.1130419,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000026521,전주양현초등학교,초등학교,2019-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 만성동 1357-4,전북특별자치도 전주시 덕진구 만성서로 96,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.84678295,127.0743556,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005976,전주서신초등학교,초등학교,1937-06-01,공립,본교,운영,전북특별자치도 전주시 완산구 서신동 31-1,전북특별자치도 전주시 완산구 전룡로 119,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.8296453,127.1248121,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006023,전주오송초등학교,초등학교,2008-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 송천동2가 179-23,전북특별자치도 전주시 덕진구 천마산로 87,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.86597905,127.1304116,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005998,전주아중초등학교,초등학교,1945-11-30,공립,본교,운영,전북특별자치도 전주시 덕진구 우아동1가 926-1,전북특별자치도 전주시 덕진구 인교5길 23,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82769773,127.1756551,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010246,전주기전중학교,중학교,1900-04-24,사립,본교,운영,전북특별자치도 전주시 완산구 효자동3가 691-2,전북특별자치도 전주시 완산구 유연로 133,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82623909,127.100655,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012986,호남제일고등학교,고등학교,1980-03-01,사립,본교,운영,전북특별자치도 전주시 완산구 효자동3가 1233,전북특별자치도 전주시 완산구 서원로 53,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.81390641,127.0992322,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006020,전주덕일초등학교,초등학교,1984-12-01,공립,본교,운영,전북특별자치도 전주시 덕진구 덕진동2가 99-1,전북특별자치도 전주시 덕진구 하가로 71,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.84855719,127.1117899,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010223,전주우전중학교,중학교,1993-03-02,공립,본교,운영,전북특별자치도 전주시 완산구 효자동2가 188,전북특별자치도 전주시 완산구 쑥고개로 375-28,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.80500421,127.1063739,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005975,전주삼천초등학교,초등학교,1988-09-01,공립,본교,운영,전북특별자치도 전주시 완산구 삼천동1가 585-1,전북특별자치도 전주시 완산구 성지산로 38,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.80084303,127.1236915,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000026000,양현고등학교,고등학교,2015-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 장동 1072,전북특별자치도 전주시 덕진구 틀못2길 9,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.84218419,127.0587816,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006006,전주장동초등학교,초등학교,1969-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 장동 258-2,전북특별자치도 전주시 덕진구 원장동길 91-12,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.84928596,127.0601031,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005994,전주덕진초등학교,초등학교,1967-10-05,공립,본교,운영,전북특별자치도 전주시 덕진구 덕진동1가 1272-2,전북특별자치도 전주시 덕진구 들사평로 61,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.84126266,127.1242898,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005988,전주신성초등학교,초등학교,1994-12-01,공립,본교,운영,전북특별자치도 전주시 완산구 평화동2가 229,전북특별자치도 전주시 완산구 평화8길 16-36,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.7898653,127.1338498,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010237,전주덕일중학교,중학교,1994-03-02,공립,본교,운영,전북특별자치도 전주시 덕진구 덕진동2가 640-9,전북특별자치도 전주시 덕진구 하가로 67,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.84798826,127.1111668,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012974,전주솔내고등학교,고등학교,2002-03-02,공립,본교,운영,전북특별자치도 전주시 덕진구 송천동1가 111-3,전북특별자치도 전주시 덕진구 송천중앙로 170,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.86301323,127.1225064,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005991,전주지곡초등학교,초등학교,2002-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 평화동2가 897-3,전북특별자치도 전주시 완산구 평화로 85,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.78433159,127.1329066,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000011623,전주상업정보고등학교,고등학교,1944-04-24,공립,본교,운영,전북특별자치도 전주시 완산구 중화산동2가 546,전북특별자치도 전주시 완산구 따박골2길 21,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.81067636,127.124988,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010239,전주동중학교,중학교,1951-08-31,공립,본교,운영,전북특별자치도 전주시 덕진구 인후동2가 24-1,전북특별자치도 전주시 덕진구 심방죽로 23,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83858477,127.1508852,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010247,전북중학교,중학교,1964-02-25,사립,본교,운영,전북특별자치도 전주시 덕진구 동산동 685-1,전북특별자치도 전주시 덕진구 쪽구름2길 22,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.87324481,127.0779915,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010221,서전주중학교,중학교,1984-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 효자동1가 364-8,전북특별자치도 전주시 완산구 거마평로 205,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.81033988,127.1122327,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005987,전주양지초등학교,초등학교,1997-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 평화동2가 582,전북특별자치도 전주시 완산구 양지2길 11-26,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.79251889,127.125929,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006009,전주원동초등학교,초등학교,1965-10-04,공립,본교,운영,전북특별자치도 전주시 덕진구 원동 361-1,전북특별자치도 전주시 덕진구 원동로 3,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.8511411,127.0334949,2024-03-22,C738100,청주대학교 지방교육재정연구원
