"시도명",시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,신호기설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,신호등화시간,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자
"전북특별자치도",전주시 덕진구,시도,17,동부대로,3,전북특별자치도 전주시 덕진구 동부대로 687,전북특별자치도 전주시 덕진구 우아동3가 746-43,35.84994792,127.1598611,3,2,Y,1,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 809,전북특별자치도 전주시 덕진구 우아동3가 747-63,35.84843776,127.1567955,3,2,Y,2,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,,전북특별자치도 전주시 덕진구 우아동3가 733-8,35.84753806,127.1523969,3,2,Y,3,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 744,전북특별자치도 전주시 덕진구 인후동2가 1574-1,35.84558665,127.150371,3,2,Y,4,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,22:00,07:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 720,전북특별자치도 전주시 덕진구 인후동2가 1557-1,35.8448508,127.1477319,3,2,Y,5,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,00:00,06:30,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 702,전북특별자치도 전주시 덕진구 인후동2가 1529-9,35.84424027,127.146008,3,1,Y,5.A,2,3,3,녹색+황색+적색,50+3+50,2,3,1,Y,00:00,06:30,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 681,전북특별자치도 전주시 덕진구 금암동 1595-23,35.84428584,127.1434632,3,2,Y,6,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,00:00,06:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 671,전북특별자치도 전주시 덕진구 금암동 1593-4,35.84404313,127.1426349,3,2,Y,6.A,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,23:00,06:30,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 659,전북특별자치도 전주시 덕진구 금암동 1591-13,35.84365936,127.1412742,3,1,Y,7,2,3,3,녹색+황색+적색,50+3+50,2,3,1,N,00:00,00:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 639,전북특별자치도 전주시 덕진구 금암동 1589-1,35.84303518,127.1393153,3,2,Y,8,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 611,전북특별자치도 전주시 덕진구 금암동 1548-11,35.84240006,127.1366543,3,1,Y,9,2,3,3,녹색+황색+적색,50+3+50,2,3,1,N,00:00,00:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 595,전북특별자치도 전주시 덕진구 금암동 1549-16,35.84161992,127.1347458,3,1,Y,10,2,3,3,녹색+황색+적색,50+3+50,2,3,1,N,00:00,00:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,,전북특별자치도 전주시 덕진구 금암동 1518-34,35.84046578,127.132014,3,2,Y,11,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,09:00,00:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,,전북특별자치도 전주시 덕진구 덕진동1가 1251-12,35.83792398,127.126568,3,2,Y,14,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,,백제대로,3,,전북특별자치도 전주시 완산구 서신동 738-178,35.83398426,127.1226388,3,2,Y,16,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,,백제대로,3,,전북특별자치도 전주시 완산구 서신동 292-1,35.82852589,127.1228861,3,2,Y,18,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,00:00,06:30,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,,백제대로,3,전북특별자치도 전주시 완산구 백제대로 361,전북특별자치도 전주시 완산구 서신동 991-5,35.82550943,127.1222318,3,2,Y,19,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,00:00,06:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,,백제대로,3,전북특별자치도 전주시 완산구 백제대로 309,전북특별자치도 전주시 완산구 중화산동2가 578-5,35.820707,127.1223793,3,2,Y,20,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,,백제대로,3,전북특별자치도 전주시 완산구 백제대로 289,전북특별자치도 전주시 완산구 중화산동2가 595-1,35.81885187,127.1224484,3,2,Y,21,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,,백제대로,3,전북특별자치도 전주시 완산구 백제대로 264,전북특별자치도 전주시 완산구 중화산동2가 651-3,35.81676534,127.1233548,3,2,Y,22,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,20:00,06:30,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,,백제대로,3,전북특별자치도 전주시 완산구 신봉로 72,전북특별자치도 전주시 완산구 효자동1가 636-2,35.809214,127.122507,3,2,Y,24,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,,백제대로,3,전북특별자치도 전주시 완산구 구룡2길 11-1,전북특별자치도 전주시 완산구 효자동2가 1255-6,35.81336845,127.1032203,3,2,Y,25,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,09:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,,백제대로,3,,전북특별자치도 전주시 완산구 삼천동1가 532-12,35.802639,127.125371,3,2,Y,26,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,00:00,06:30,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,,백제대로,3,전북특별자치도 전주시 완산구 백제대로 54,전북특별자치도 전주시 완산구 삼천동1가 743-19,35.79938255,127.1292417,3,2,Y,28,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,,백제대로,3,,전북특별자치도 전주시 완산구 평화동1가 산123,35.7978744,127.1306427,3,2,Y,29,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,3,N,00:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,27,모악로,3,,전북특별자치도 전주시 완산구 평화동1가 614-2,35.795559,127.1327061,3,2,Y,30,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,27,모악로,3,전북특별자치도 전주시 완산구 모악로 4760,전북특별자치도 전주시 완산구 평화동1가 731-6,35.79427909,127.1326852,3,2,Y,31,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,27,모악로,3,전북특별자치도 전주시 완산구 모악로 4725,전북특별자치도 전주시 완산구 평화동2가 850-5,35.79114981,127.1312091,3,2,Y,33,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,23:00,07:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,26,동부대로,3,전북특별자치도 전주시 덕진구 동부대로 710,전북특별자치도 전주시 덕진구 우아동3가 745-42,35.85178979,127.159476,3,1,Y,38,2,3,3,녹색+황색+적색,50+3+50,2,3,1,N,00:00,00:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,조경단로,3,,전북특별자치도 전주시 덕진구 금암동 632-164,35.844667,127.1383191,3,2,Y,40,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,00:00,06:30,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,견휜로,3,전북특별자치도 전주시 덕진구 견훤로 425-1,전북특별자치도 전주시 덕진구 인후동2가 1569-46,35.849095,127.1518837,3,1,Y,41,1,3,3,녹색+황색+적색,50+3+50,2,3,1,Y,00:00,06:20,N,N,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,견휜로,3,,전북특별자치도 전주시 덕진구 우아동3가 742,35.84496809,127.1533291,3,1,Y,42,2,3,3,녹색+황색+적색,50+3+50,2,3,1,Y,00:00,06:30,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,견휜로,3,,전북특별자치도 전주시 덕진구 우아동3가 694-7,35.843897,127.1537101,3,2,Y,43,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,23:00,06:30,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,,서원로,3,,전북특별자치도 전주시 완산구 중화산동2가 517-4,35.81205963,127.1247755,3,2,Y,45.A,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,,안행로,3,전북특별자치도 전주시 완산구 안행로 44,전북특별자치도 전주시 완산구 삼천동1가 751-1,35.80117095,127.1328598,3,2,Y,47,1,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,22:00,06:00,N,N,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,,용리로,3,전북특별자치도 전주시 완산구 용리로 177,전북특별자치도 전주시 완산구 삼천동1가 585-10,35.798751,127.1277128,3,1,Y,48,2,3,3,녹색+황색+적색,50+3+50,2,3,1,Y,23:00,06:30,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,1,혁신로,3,,전북특별자치도 전주시 덕진구 반월동 255-5,35.87144033,127.0733455,3,2,Y,52.A,2,3,3,녹색+황색+적색,50+3+50,2,3,1,N,00:00,00:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,1,혁신로,3,,전북특별자치도 전주시 덕진구 여의동 1217-2,35.86875056,127.071937,3,2,Y,53,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,22:00,06:30,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,713,혁신로,3,,전북특별자치도 전주시 덕진구 여의동 1161-3,35.863331,127.0691521,3,2,Y,54,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,00:00,06:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,26,동부대로,3,,전북특별자치도 전주시 덕진구 고랑동 814-25,35.87580714,127.083222,3,2,Y,55,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,26,동부대로,3,,전북특별자치도 전주시 덕진구 고랑동 1178-5,35.87601674,127.0832231,3,2,Y,56,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,00:00,06:30,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,쪽구름로,3,전북특별자치도 전주시 덕진구 쪽구름로 120,전북특별자치도 전주시 덕진구 반월동 422-22,35.87416504,127.072147,3,2,Y,57,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,23:00,06:30,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,기린대로,3,,전북특별자치도 전주시 덕진구 여의동 691-24,35.86681897,127.0760673,3,1,Y,58,2,3,3,녹색+황색+적색,50+3+50,2,3,3,Y,23:00,06:30,Y,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,기린대로,3,,전북특별자치도 전주시 덕진구 팔복동1가 386-4,35.85987905,127.0934321,3,2,Y,62,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,23:00,06:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,기린대로,3,,전북특별자치도 전주시 덕진구 팔복동2가 306-36,35.85768955,127.0972352,3,2,Y,63,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,3,Y,22:00,06:00,Y,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,기린대로,3,,전북특별자치도 전주시 덕진구 팔복동1가 308-10,35.854921,127.1030761,3,2,Y,64,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,00:00,07:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,기린대로,3,,전북특별자치도 전주시 덕진구 팔복동2가 799-51,35.85362107,127.1046624,3,2,Y,65,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,기린대로,3,,전북특별자치도 전주시 덕진구 팔복동2가 31-2,35.85295752,127.1059855,3,2,Y,66,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,기린대로,3,,전북특별자치도 전주시 덕진구 팔복동2가 51-2,35.850969,127.1103808,3,2,Y,67,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,기린대로,3,,전북특별자치도 전주시 덕진구 덕진동2가 129,35.8485021,127.1153278,3,1,Y,69,2,3,3,녹색+황색+적색,50+3+50,2,3,1,Y,22:00,06:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,가리내로,3,,전북특별자치도 전주시 덕진구 덕진동2가 24-8,35.852361,127.115159,3,2,Y,70,1,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,N,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,기린대로,3,,전북특별자치도 전주시 덕진구 덕진동2가 147-7,35.84761666,127.117662,3,2,Y,71,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,기린대로,3,,전북특별자치도 전주시 덕진구 덕진동2가 204-10,35.84631544,127.120267,3,1,Y,72,2,3,3,녹색+황색+적색,50+3+50,2,3,1,N,00:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,기린대로,3,,전북특별자치도 전주시 덕진구 덕진동1가 1362-7,35.84524295,127.1214933,3,1,Y,72.A,2,3,3,녹색+황색+적색,50+3+50,2,3,1,Y,00:00,06:30,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,기린대로,3,전북특별자치도 전주시 덕진구 기린대로 496,전북특별자치도 전주시 덕진구 덕진동1가 1276-6,35.84366173,127.1242811,3,2,Y,73,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,기린대로,3,,전북특별자치도 전주시 덕진구 금암동 498-24,35.83300919,127.1383147,3,2,Y,77,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,조경단로,3,,전북특별자치도 전주시 덕진구 금암동 522-76,35.83601309,127.1365352,3,2,Y,79,1,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,23:00,06:00,N,N,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,가리내로,3,,전북특별자치도 전주시 덕진구 금암동 795-25,35.83463278,127.1276474,3,2,Y,81,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,가리내로,3,전북특별자치도 전주시 덕진구 전주천동로 451,전북특별자치도 전주시 덕진구 진북동 1168-1,35.833963,127.1272689,3,1,Y,81.A,1,3,3,녹색+황색+적색,50+3+50,2,3,1,Y,23:00,06:00,N,N,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,권삼득로,3,,전북특별자치도 전주시 덕진구 진북동 395-1,35.833348,127.139373,3,2,Y,82,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,23:00,06:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,팔달로,3,,전북특별자치도 전주시 덕진구 진북동 393-2,35.83207917,127.1379923,3,1,Y,83,2,3,3,녹색+황색+적색,50+3+50,2,3,1,Y,23:00,06:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,27,팔달로,3,,전북특별자치도 전주시 덕진구 진북동 365-8,35.830855,127.1390974,3,1,Y,83.A,2,3,3,녹색+황색+적색,50+3+50,2,3,1,Y,22:00,06:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,안덕원로,3,,전북특별자치도 전주시 덕진구 인후동2가 227-1,35.835353,127.1489002,3,2,Y,87,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,22:00,06:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,안덕원로,3,,전북특별자치도 전주시 덕진구 인후동1가 660-1,35.83574496,127.1499157,3,2,Y,87.A,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,23:00,06:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,안덕원로,3,,전북특별자치도 전주시 덕진구 금암동 332-1,35.83243265,127.144475,3,2,Y,90,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,00:00,06:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,27,기린대로,3,전북특별자치도 전주시 완산구 기린대로 212,전북특별자치도 전주시 완산구 서노송동 568-84,35.82605893,127.1470148,3,1,Y,92,2,3,3,녹색+황색+적색,50+3+50,2,3,1,Y,23:00,06:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 완산구,시도,27,기린대로,3,전북특별자치도 전주시 완산구 기린대로 177,전북특별자치도 전주시 완산구 서노송동 568-133,35.82343131,127.1491363,3,2,Y,93,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,22:00,06:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
